Proposal Number:,type,pub_title,authors,reference_no
NPRP9-020-1-006,Journal Paper,Breather-to-soliton transformation rules in the hierarchy of nonlinear Schrödinger equations,Amdad Chowduryand Wieslaw Krolikowski,ISSN:24700053
NPRP9-020-1-006,Journal Paper,Reconfigurable opto-thermal graded-index waveguiding in bulk chalcogenide glasses,"SOROUSH SHABAHANG, NICHOLAS S. NYE, CHRISTOS MARKOS, DEMETRIOS N. CHRISTODOULIDES, AND
AYMAN F. ABOURADDY",ISSN:15394794
NPRP9-020-1-006,Journal Paper,Stable vortex soliton in nonlocal media with orientational nonlinearity,"YANA V. IZDEBSKAYA,VLADLEN G. SHVEDOV, PAWEL S. JUNG, AND WIESLAW KROLIKOWSKI",ISSN:15394794
NPRP9-020-1-006,Journal Paper,Instant and efficient second-harmonic generation and downconversion in unprepared graded-index multimode fibers,"M. A. EFTEKHAR, Z. SANJABI-EZNAVEH, J. E. ANTONIO-LOPEZ, F. W. WISE,  D. N. CHRISTODOULIDES,
AND R. AMEZCUA-CORREA",ISSN:15394794
NPRP9-020-1-006,Journal Paper,"Breather solutions of a fourth-order nonlinear Schrödinger equation in the degenerate, soliton, and rogue wave limits","Amdad Chowdury and Wieslaw Krolikowski, Nail Akhmediev",ISSN:15502376
NPRP9-020-1-006,Journal Paper,Enhanced sensitivity at higher-order exceptional points,"Hossein Hodaei1, Absar U. Hassan1, Steffen Wittek1, Hipolito Garcia-Gracia1, Ramy El-Ganainy2,
Demetrios N. Christodoulides1 &amp; Mercedeh Khajavikhan1",ISSN:14764687
NPRP9-020-1-006,Journal Paper,Supermode spatial solitons via competing nonlocal nonlinearities,"Pawel S. Jung  Mirosław A. Karpierz, Marek Trippenbach, Demetrios N. Christodoulides,  Wieslaw Krolikowski",ISSN:20802242
NPRP9-020-1-006,Journal Paper,Edge-Mode Lasing in 1D Topological Active Arrays,"Midya Parto,1 Steffen Wittek,1 Hossein Hodaei,1 Gal Harari, Miguel A. Bandres, Jinhan Ren, Mikael C. Rechtsman, Mordechai Segev, Demetrios N. Christodoulides, Mercedeh Khajavikhan",ISSN:10797114
NPRP9-020-1-006,Journal Paper,Controlling Disorder by Electric-Field-Directed Reconfiguration of Nanowires To Tune Random Lasing,"P. P. Donahue,  C. Zhang, N. Nye, J. Miller, C-Yu Wang, R. Tang, D. Christodoulides, C. D. Keating, and Zhiwen Liu",ISSN:1936086X
NPRP9-015-5-002,,,,
NPRP9-005-1-002,Conference Paper,Active Malware Countermeasure Approach for Mission Critical Systems,"Zachary Thomas, and Sherif Abdelwahed",DOI:10.1109/DASC-PICom-DataCom-CyberSciTec.2017.111
NPRP9-002-6-001,Journal Paper,The Arabian Oryx or Unicorn in Qaṭrayith: the Ancient East-Arabian Language of Beth Qaṭraye.,Mario Kozah,ISSN:06723172 | 7898041X
NPRP9-002-6-001,Journal Paper,"The political, economic and social situations of the islands in the Gulf area during the third and fourth A.H./ ninth and tenth A. D. centuries.",Prof. Saif al-Murikhi,ISSN:06723172 | 7898041X
NPRP9-002-6-001,Conference Paper,The Ancient Language of Qatar known in Aramaic as Qatrayith,"Prof. Saif al-Murikhi
Dr. Haya Al Thani
Dr Mario Kozah",DOI:10.1017/S0041977X14001086
NPRP9-002-6-001,Conference Paper,New Discoveries in Qatrayith,"Presenter: Dr Mario Kozah
Discussant: Dr Abdulrahim Abu-Husayn",DOI:10.1017/S0042977X14001086
NPRP9-002-6-001,Conference Paper,The Arabian Oryx in Qatrayith,Dr Mario Kozah,DOI:10.1017/S0041977X14001089
NPRP9-001-2-001,,,,
NPRP8-999-5-136,Creative Works,Enforcement of arbitral awards and research for assets: is bankruptcy an optimal solution?,Yassin El SHAZLY,CRWO62171
NPRP8-999-5-136,Journal Paper,"Football and Sustainability in the Desert, Qatar 2022 Green World Cup’s Stadiums: Legal Perspective","Prof. Abdelnaser Zeyad Hayajneh
College of Law- Qatar University
E-Mail: abdelnaser.com@qu.edu.qu
Hassan Elbarrawy
Associate Dean for Academic Affairs, College of Law- Qatar University
E-Mail: h-elbarrawy@qu.edu.qa
Yassin Elshazly
Assistant Professor – College of Law, Qatar University
E-Mail: yassin.elshazly@qu.edu.qa
Tarek Rashid
Assistant Professor – College of Law, Qatar University
E-Mail: tr.gomaa@qu.edu.qa",ISSN:14502267
NPRP8-999-5-136,Journal Paper,Tracing Environmental Law Principles within the Qatari Legal System,"Prof. Abdelnaser Zeyad Hayajneh
Advisory Board Member - Centre for Law and Development -Professor of Law- College of Law
Qatar University
abdelnaser.com@qu.edu.qa
Dr. Hassan Elbarrawy
Associate Dean for Academic Affairs, College of Law - Qatar University
h-elbarrawy@qu.edu.qa
Dr. Yassin Elshazly
Assistant Professor – College of Law - Qatar University
yassin.elshazly@qu.edu.qa
Dr. Tarek Rashid
Assistant Professor – College of Law - Qatar University
tr.gomaa@qu.edu.qa",ISSN:20481268
NPRP8-992-5-133,,,,
NPRP8-964-2-408,,,,
NPRP8-952-1-186,Conference Paper,Current biodiversity and biogeography trends of reef-building corals in Qatar,"Bouwmeester J, 
Burt JA, 
Range P, 
Ben Hamadou R.",DOI:10.5339/qproc.2016.qulss.30
NPRP8-952-1-186,Online Paper,Improving management of future coastal development in Qatar through ecosystem-based management approaches,"John A. Burt
Radhouane Ben-Hamadou
Mohamed A. R. Abdel-Moati
Lucia Fanning
Simeon Kaitibie
Fahad Al-Jamali
Pedro Range
Suhur Saeed
Christopher S. Warren",DOI:10.1016/j.ocecoaman.2017.08.006
NPRP8-952-1-186,Journal Paper,Improving management of future coastal development in Qatar through ecosystem-based management approaches,"John A. Burt, Radhouane Ben-Hamadou, Mohamed A.R. Abdel-Moati, Lucia Fanning, Simeon Kaitibie, Fahad Al-Jamali, Pedro Range, Suhur Saeed, Christopher S. Warren",ISSN:09645691
NPRP8-952-1-186,Journal Paper,A large aggregation of self-fragmenting mushroom corals in the Arabian/Persian Gulf,"Bert W. Hoeksema, Jessica Bouwmeester, Pedro Range, Radhouan Ben Hamadou",ISSN:19399170
NPRP8-952-1-186,Conference Paper,Coral bleaching in extreme environments: species specific thermal tolerance limits,"Jessica Bouwmeester, Haneen I. Eldos , Christopher S. Warren , Pedro Range , John Burt , Suhur Saeed , Nayla Al-Naema , Radhouan Ben-Hamadou",DOI:10.5339/qfarc.2018.EEPD640
NPRP8-952-1-186,Conference Paper,"Spatial and environmental drivers of biodiversity, ecology and biogeography of coral communities in SW of the Arabian/Persian Gulf","Jessica Bouwmeester, John Burt, Pedro Range, Radhouan Ben-Hamadou​",DOI:10.7287/peerj.preprints.26671v1
NPRP8-921-5-122,Journal Paper,Family Literacy Programs in Qatar: Teachers’ and Parents’ Perceptions and Practices,"Fatima Al-Maadadi, Fathi Ihmeideh, Maryam Al-Falasi, Chris Coughlin &amp; Tamader Al-Thani",ISSN:19270526
NPRP8-912-3-192,Journal Paper,Is there a place for low-energy formula diets in weight management?,"Brown A, Frost G, Taheri S",ISSN:20581696
NPRP8-912-3-192,Journal Paper,Association between diabetes mellitus and olfactory dysfunction: current perspectives and future directions,"H. Zaghloul, M. Pallayova, O. Al-Nuaimi, K. R. Hovis and S. Taheri",ISSN:14645491
NPRP8-912-3-192,Journal Paper,Insulin-associated weight gain in obese type 2 diabetes mellitus patients: What can be done?,"Adrian Brown, Nicola Guess, Anne Dornhorst, Shahrad Taheri, Gary Frost",ISSN:14631326
NPRP8-912-3-192,Journal Paper,Perceptions and attitudes to clinical research participation in Qatar,"Hiba Tohid, Sopna M. Choudhury, Sahar Agouba, Abdi Aden, Lina H.M. Ahmed, Omar Omar, Odette Chagoury, Shahrad Taheri",ISSN:24518654
NPRP8-912-3-192,Journal Paper,Insulin-associated weight gain in obese type 2 diabetes mellitus patients: What can be done?,"Adrian Brown,
Nicola Guess,
Anne Dornhorst,
Shahrad Taheri,
Gary Frost",ISSN:14631326
NPRP8-912-3-192,Journal Paper,Diabetes Intervention Accentuating Diet and Enhancing Metabolism (DIADEM-I): a randomised controlled trial to examine the impact of an intensive lifestyle intervention consisting of a low-energy diet,"Shahrad Taheri, Odette Chagoury, Hadeel Zaghloul, Sara Elhadad, Salma Hayder Ahmed,
Omar Omar, Sherryl Payra, Salma Ahmed, Neda El Khatib, Rasha Abou Amona, Katie El Nahas,
Matthew Bolton, Henem Chaar, Noor Suleiman, Amin Jayyousi, Mahmoud Zirie, Ibrahim Janahi,
Wahiba Elhag, Abdulla Alnaama, Abduljaleel Zainel, Dahlia Hassan, Tim Cable, Mary Charlson, Martin Wells,
Abdulla Al-Hamaq, Samya Al-Abdulla and Abdul Badi Abou-Samra",ISSN:17456215
NPRP8-912-3-192,Journal Paper,Diabetes Intervention Accentuating Diet and Enhancing Metabolism (DIADEM-I): a randomised controlled trial to examine the impact of an intensive lifestyle intervention consisting of a low-energy diet,"Shahrad Taheri, Odette Chagoury, Hadeel Zaghloul, Sara Elhadad, Salma Hayder Ahmed, Omar Omar, Sherryl Payra, Salma Ahmed, Neda El Khatib, Rasha Abou Amona, Katie El Nahas, Matthew Bolton, Henem Chaar, Noor Suleiman, Amin Jayyousi, Mahmoud Zirie, Ibrahim Janahi, Wahiba Elhag, Abdulla Alnaama, Abduljaleel Zainel, Dahlia Hassan, Tim Cable, Mary Charlson, Martin Wells, Abdulla Al-Hamaq, Samya Al-Abdulla, Abdul Badi Abou-Samra",ISSN:1745-6215
NPRP8-910-2-387,,,,
NPRP8-878-1-172,Journal Paper,Influence of Doping and Temperature on Solvatochromic Shifts in Optical Spectra of Carbon Dots,"Claas J. Reckmeier, Yu Wang, Radek Zboril, Andrey L. Rogach",ISSN:Print Edition ISSN: 1932-7447;  Web Edition ISSN: 1932-7455
NPRP8-878-1-172,Journal Paper,Luminescent colloidal carbon dots: optical properties and effects of doping,"C. J. Reckmeier, J. Schneider, A. S. Susha, A. L. Rogach",ISSN:10944087
NPRP8-878-1-172,Journal Paper,Influence of Doping and Temperature on Solvatochromic Shifts in Optical Spectra of Carbon Dots,"Claas J. Reckmeier, Yu Wang, Radek Zboril, Andrey L. Rogach",ISSN:19327447
NPRP8-878-1-172,Journal Paper,Gamma ray shifted and enhanced photoluminescence of graphene quantum dots†,"Tao Wang, Claas J. Reckmeier, Shunkai Lu,a Yanqing Li, Yafei Cheng, Fan Liao,a Andrey L. Rogachc and Mingwang Shao",ISSN:20507526
NPRP8-878-1-172,Journal Paper,Molecular Fluorescence in Citric Acid-Based Carbon Dots,"Julian Schneider,  Claas J. Reckmeier, Yuan Xiong, Maximilian von Seckendorff, Andrei S. Susha,
Peter Kasák, Andrey L. Rogach",ISSN:19327447
NPRP8-878-1-172,Journal Paper,Electrostatic Assembly Guided Synthesis of Highly Luminescent Carbon-Nanodots@BaSO4 Hybrid Phosphors with Improved Stability,"Ding Zhou, Yuechen Zhai, Songnan Qu, Di Li, Pengtao Jing, Wenyu Ji, Dezhen Shen, and Andrey L. Rogach",ISSN:16136829
NPRP8-878-1-172,Book,Clay-Polymer Nanocomposites   1st Edition,"Khouloud Jlassi, Igor Krupa, Mohamed M. Chehimi",ISBN:9780323461535
NPRP8-878-1-172,Journal Paper,Carbonization conditions influence the emission characteristics and the stability against photobleaching of nitrogen doped carbon dots,"Yuan Xiong, Julian Schneider, Claas J. Reckmeier, He Huang, Peter Kasák, Andrey L. Rogach",ISSN:20403372
NPRP8-878-1-172,Journal Paper,Conquering Aggregation-Induced Solid-State Luminescence Quenching of Carbon Dots through a Carbon Dots-Triggered Silica Gelation Process,"Ding Zhou, Di Li, Pengtao Jing, Yuechen Zhai, Dezhen Shen,  Songnan Qu, Andrey L. Rogach",ISSN:08974756
NPRP8-878-1-172,Journal Paper,Aggregated Molecular Fluorophores in the Ammonothermal Synthesis of Carbon Dots,"Claas J. Reckmeier, Julian Schneider, Yuan Xiong, Jonas Häusler, Peter Kasák, Wolfgang Schnick, and Andrey L. Rogach",ISSN:08974756
NPRP8-878-1-172,Journal Paper,Graphitic Nitrogen Triggers Red Fluorescence in Carbon Dots,"Kateřina Holá, Mária Sudolská, Sergii Kalytchuk, Dana Nachtigallová, Andrey L. Rogach,
Michal Otyepka, and Radek Zbořil",ISSN:19360851
NPRP8-878-1-172,Journal Paper,Full-Color Inorganic Carbon Dot Phosphors for White-Light-Emitting Diodes,"Zhen Tian, Xutao Zhang, Di Li, Ding Zhou, Pengtao Jing, Dezhen Shen, Songnan Qu,
Radek Zboril, and Andrey L. Rogach",ISSN:21951071
NPRP8-878-1-172,Journal Paper,"Hydrogen Peroxide-Treated Carbon Dot Phosphor with a Bathochromic-Shifted, Aggregation-Enhanced Emission for Light-Emitting Devices and Visible Light Communication","Zheng jie Zhou, Pengfei Tian, Xiaoyan Liu, Shiliang Mei, Ding Zhou, Di Li, Pengtao Jing,
Wanlu Zhang, Ruiqian Guo, Songnan Qu,  and Andrey L. Rogach",ISSN:21983844
NPRP8-878-1-172,Journal Paper,"Bentonite-decorated calix [4] arene: A new, promising hybrid material for heavy-metal removal","Khouloud Jlassi, Rym Abidi, Memia Benna, Mohamed M. Chehimi, Peter Kasak,
Igor Krupa",ISSN:01691317
NPRP8-878-1-172,Journal Paper,Emerging clay-aryl-gold nanohybrids for efficient electrocatalytic proton reduction,"Khouloud Jlassi, Sifani Zavahir, Peter Kasak, Igor Krupaa,, Ahmed A. Mohamed,,Mohamed M. Chehimi",ISSN:01968904
NPRP8-878-1-172,Journal Paper,"Tunable properties based on regioselectivity of 1,2,3-triazole units in axially chiral 2,2′-linked 1,1′-binaphthyl-based copolymers for ions and acid  responsiveness","Ján Lauko,, Paul H.J. Kouwer, Peter Kasak, Alan E. Rowan",ISSN:00143057
NPRP8-878-1-172,Journal Paper,Anti-corrosive and oil sensitive coatings based on epoxy/polyaniline/magnetite-clay composites through diazonium interfacial chemistry,"Khouloud Jlassi, A. Bahgat Radwan, Kishor Kumar Sadasivuni, Miroslav Mrlik,
Aboubakr M. Abdullah, Mohamed M. Chehimi &amp; Igor Krupa",ISSN:20452322
NPRP8-878-1-172,Journal Paper,A Building Brick Principle to Create Transparent Composite Films with Multicolor Emission and Self-Healing Function,"Yuan Xiong, Minshen Zhu, Zhenguang Wang, Julian Schneider, He Huang,
Stephen V. Kershaw, Chunyi Zhi, and Andrey L. Rogach",ISSN:16136810
NPRP8-876-2-375,Journal Paper,Influence of functionally graded pores on bone ingrowth in cementless hip prosthesis: a finite element study using mechanoregulatory algorithm,"Faris Tarlochan, Hassan Mehboob, Ali
Mehboob &amp; Seung-Hwan Chang",ISSN:16177959
NPRP8-876-2-375,Journal Paper,Statistical and optimize of lattice structures with selective laser melting (SLM) of Ti6AL4V material,"Kadirgama, Harun, F. Tarlochan, Samykano, Ramasamy, Azir, Mehboob",ISSN:14333015
NPRP8-876-2-375,Conference Paper,A Need for Functionally Graded Stiffness Femoral Stem for Reduction in Stress Shielding and Promoting Bone Growth: Computational Analysis,"Faris Tarlochan, Hassan Mehboob",DOI:10.1115/IMECE2017-70675
NPRP8-876-2-375,Journal Paper,"Biomechanical design of a composite femoral prosthesis to investigate the effects of stiffness, coating length, and interference press fit","Faris Tarlochan, Hassan Mehboob, Ali Mehboob, Seung-Hwan Chang",ISSN:02638223
NPRP8-876-2-375,Journal Paper,Finite element modelling and characterization of 3D cellular microstructures for the design of a cementless biomimetic porous hip stem,"Hassan Mehboob, Faris Tarlochan , Ali Mehboob , Seung-Hwan Chang",ISSN:02641275
NPRP8-856-2-364,Journal Paper,Dynamic precipitation in Mg-3Al-1Zn alloy during different plastic deformation modes,"E. Dogan, S. Wang b, M.W. Vaughan , I. Karaman",ISSN:1359-6454
NPRP8-856-2-364,Conference Paper,Combined Effects of Grain Size Refinement and Dynamic Precipitation on Mechanical Properties of a New Magnesium Alloy,"M. W. Vaughan, J. M. Seitz, R. Eifler, H. J. Maier, I. Karaman",DOI:10.1007/978-3-319-52392-7
NPRP8-856-2-364,Journal Paper,Corrosion Characteristics of Two Rare Earth Containing Magnesium Alloys,"M. AbdelGawad, B. Mansoor, A. U. Chaudhry",ISSN:23671696
NPRP8-836-2-353,Journal Paper,Dynamic Forces Induced on Building Floors by a Single Pedestrian: A Literature Review,"Younis, A., Avci, O., Hussein, M.F.M., Davis, B., Reynolds, P.",ISSN:00036900
NPRP8-764-1-160,Journal Paper,Floquet analysis of Kuznetsov-Ma breathers: A path towards spectral stability of rogue waves,"J. Cuevas-Maraver, P. G. Kevrekidis, D. J. Frantzeskakis, N. I. Karachalios, M. Haragus, and G. James",ISSN:24700045
NPRP8-764-1-160,Journal Paper,Spatiotemporal algebraically localized waveforms for a nonlinear Schrödinger model with gain and loss,"Z.A. Anastassi, G. Fotopoulos, D.J. Frantzeskakis, T.P. Horikis, N.I. Karachalios, P.G. Kevrekidis, I.G. Stratis, K. Vetas",ISSN:01672789
NPRP8-764-1-160,Journal Paper,ROGUE WAVES IN ULTRACOLD BOSONIC SEAS,"E. G. CHARALAMPIDIS1, J. CUEVAS-MARAVER, D. J. FRANTZESKAKIS, P. G. KEVREKIDIS",ISSN:12211451
NPRP8-631-5-076,Journal Paper,Implementing dialogic inquiry in Qatari mathematics and science classrooms: Challenges and provocations,"CAROL MURPHY
University of Tasmania
Australia
ABDULLAH ABU-TINEH
University of Qatar
Qatar
NIGEL CALDER
University of Waikato
New Zealand
NASSER MANSOUR
University of Exeter
United Kingdom",ISSN:2382-0349
NPRP8-751-1-157,Journal Paper,Phonon arithmetic in a trapped ion system,"Mark Um,	Junhua Zhang,	Dingshun Lv, Yao Lu,  Shuoming An, Jing-Ning Zhang, Hyunchul Nha, M. S. Kim &amp; Kihwan Kim",ISSN:20411723
NPRP8-751-1-157,Journal Paper,Multiphoton catalysis with coherent state input: nonclassicality and decoherence,"Li-Yun Hu, Jia-Ni Wu, Zeyang Liao and M Suhail Zubairy",ISSN:09534075
NPRP8-751-1-157,Journal Paper,Influence of monitoring efficiency on states protection using partial measurement and quantum reversal,Longfei Fan and M Suhail Zubairy,ISSN:09534075
NPRP8-751-1-157,Journal Paper,Revealing nonclassicality beyond Gaussian states via a single marginal distribution,"Jiyong Park, Yao Lu, Jaehak Lee, Yangchao Shen, Kuan Zhang, Shuaining Zhang, Muhammad Suhail Zubairy, Kihwan Kim, and Hyunchul Nha",ISSN:10916490
NPRP8-751-1-157,Journal Paper,Tunable positive and negative group delays of light reflection from layer structures with a graphene layer,"Lin Wang, Li-Gang Wang, and M. Suhail Zubairy",ISSN:10897550
NPRP8-751-1-157,Journal Paper,Quantifying non-Gaussianity of quantum-state correlation,"Jiyong Park, Jaehak Lee, Se-Wan Ji, and Hyunchul Nha",ISSN:24699934
NPRP8-751-1-157,Journal Paper,Wolf effect of partially coherent light fields in two-dimensional curved space,"Chenni Xu, Adeel Abbas, Li-Gang Wang, Shi-Yao Zhu, M. Suhail Zubairy",ISSN:24699934
NPRP8-735-1-154,Conference Paper,Mid-infrared Dual Frequency Comb Spectrometer for Acetone Detection,"Feng Zhu, Aysenur Bicer, James Bounds, Jinbao Xia, Alexandre A. Kolomenskii, Tarek A. Mohamed, Mahmood Amani, and Hans A. Schuessler",DOI:10.1364/LACSEA.2016.LT1G.2
NPRP8-735-1-154,Journal Paper,Probing methane in air with a midinfrared frequency comb source,"Feng Zhu, Jinbao Xia, Aysenur Bicer, James Bounds, Alexandre Kolomenskii, James Strohaber, Lewis Johnson, Mahmood Amani, and Hans Schuessler",ISSN:2155-3165
NPRP8-735-1-154,Journal Paper,Probing methane in air with a midinfrared,"FENG ZHU, JINBAO XIA, AYSENUR BICER, JAMES BOUNDS, ALEXANDRE KOLOMENSKII,1
STROHABER, LEWIS JOHNSON, MAHMOOD AMANI, AND HANS SCHUESSLER",ISSN:21553165
NPRP8-735-1-154,Journal Paper,A ppb level sensitive sensor for atmospheric methane detection,"Jinbao Xia, Feng Zhu,Sasa Zhang,Alexandre Kolomenskii,Hans Schuessler",ISSN:1350-4495
NPRP8-735-1-154,Journal Paper,Dissociative ionization of ethane with femtosecond pulses of radiation,"Yakup Boran, Gennady Gutsev, Alexandre Kolomenski, Feng Zhu, Hans Schuessler and James Strohaber",ISSN:1361-6455
NPRP8-735-1-154,Journal Paper,Dissociative ionization of ethane with femtosecond pulses of radiation,"Y Boran, G L Gutsev, A A Kolomenskii, F Zhu, A Schuessler and J Strohaber",ISSN:13616455
NPRP8-735-1-154,Conference Paper,Cavity ring-down spectroscopy for the isotope ratio measurement of methane in ambient air with DFB diode laser near 1.65 μm,A. Bicer ;  J. Bounds ;  F. Zhu ;  A. A. Kolomenskii ;  S. Tzortzakis ;  H. A. Schuessler,DOI:10.1109/CLEOE-EQEC.2017.8086920
NPRP8-735-1-154,Conference Paper,Sensing methane in air with a mid-infrared frequency comb source,"F. Zhu, J. Xia, A. Bicer, J. Bounds, A. Kolomenskii, J. Strohaber, L. Johnson, M. Amani, and ∙H. Schuessler",DOI:10.1109/CLEOE-EQEC.2017.8086923
NPRP8-735-1-154,Conference Paper,Control of Femtosecond Filamentation by Revivals of Nonadiabatic Molecular Alignment,"Necati Kaya, Gamze Kaya, Yakup Boran, Alexandre A. Kolomenskii, Mahmood Amani, and Hans A. Schuessler",DOI:ISBN: 978-1-5090-6736-7
NPRP8-735-1-154,Journal Paper,Sensitive Spectroscopic Analysis of Biomarkers in Exhaled Breath,"A. BicerJ. BoundsF. ZhuA. A. Kolomenskii, N. Kaya, E. Aluauee, M. AmaniH. A. Schuessler",ISSN:1572-9567
NPRP8-735-1-154,Journal Paper,Dissociative ionization of ethane with femtosecond pulses of radiation,"Y Boran1, G L Gutsev, A A Kolomenskii, F Zhu, A Schuessler and
J Strohaber",ISSN:0953-4075
NPRP8-735-1-154,Journal Paper,Acousto-optical Transducer with Surface Plasmons,"A. A. Kolomenskii,  E. Surovic, H. A. Schuessler",ISSN:1572-9567
NPRP8-735-1-154,Journal Paper,Optical detection of acoustic waves with surface plasmons,"A. A. KOLOMENSKII,1, E. SUROVIC, AND H. A. SCHUESSLER",ISSN:21553165
NPRP8-648-2-273,Journal Paper,20-meter underwater wireless optical communication link with 1.5 Gbps data rate,"CHAO SHEN, YUJIAN GUO, HASSAN M. OUBEI, TIEN KHEE NG, GUANGYU LIU, KI-HONG PARK, KANG-TING HO MOHAMED-SLIM ALOUINI AND BOON S. OOI",ISSN:1094-4087
NPRP8-648-2-273,Journal Paper,Code Design for Flicker Mitigation in Visible Light Communications Using Finite State Machines,"Carlos E. Mejia,  Costas N. Georghiades, Mohamed M. Abdallah,  and Yazan H. Al-Badarneh",ISSN: 00906778
NPRP8-648-2-273,Journal Paper,Angle-tolerant hybrid plasmonic filters for visible light communications,"NOHA ANOUS, MOHAMED ABDALLAH, TAREK RAMADAN, KHALID QARAQE, AND DIAA KHALIL",ISSN:1559128X
NPRP8-648-2-273,Conference Paper,Performance Analysis of Adaptive Modulation in Underwater Visible Light Communications,"Imen Sahnoun, Imran Shafique Ansari, Mohamed Abdallah, and Khalid Qaraqe",DOI:10.1109/SOFTCOM.2016.1111111
NPRP8-648-2-273,Conference Paper,Performance Evaluation For Vertical Inhomogeneous Underwater Visible Light Communications,"Noha Anous, Mohamed Abdallah and Khalid Qaraqe",DOI:10.1109/VTCFALL.2017.1111111
NPRP8-648-2-273,Journal Paper,Performance Evaluation of Underwater Wireless Optical Communications Links in the Presence of Different Air Bubble Populations,"Hassan Makine Oubei, Rami T. ElAfandy
Ki-Hong Park,
Tien Khee Ng,  Mohamed-Slim Alouini, Boon S. Ooi",ISSN:19430655
NPRP8-648-2-273,Journal Paper,Simple statistical channel model for weak temperature-induced turbulence in underwater wireless optical communication systems,"HASSAN MAKINE OUBEI, EMNA ZEDINI, RAMI T. ELAFANDY, ABLA KAMMOUN, MOHAMED ABDALLAH, TIEN KHEE NG, MOUNIR HAMDI, MOHAMED-SLIM ALOUINI, AND BOON S. OOI",ISSN:01469592
NPRP8-648-2-273,Journal Paper,20-meter underwater wireless optical communication link with 1.5 Gbps data rate,"CHAO SHEN, YUJIAN GUO, HASSAN M. OUBEI, TIEN KHEE NG, GUANGYU LIU, KI-HONG PARK, KANG-TING HO, MOHAMED-SLIM ALOUINI, AND BOON S. OOI",ISSN:10944087
NPRP8-648-2-273,Journal Paper,Effect of eddy diffusivity ratio on underwater optical scintillation index,"MOHAMMED ELAMASSIE, MURAT UYSAL, YAHYA BAYKAL, MOHAMED ABDALLAH, AND KHALID QARAQE",ISSN:10847529
NPRP8-648-2-273,Journal Paper,Simple statistical channel model for weak temperature-induced turbulence in underwater wireless optical communication systems,"Hassan Makine Oubei, Emna Zedini, Rami T. ElAfandy, Abla Kammoun, Mohamed Abdallah, Tien Khee Ng, Mounir Hamdi, Mohamed-Slim Alouini, and Boon S. Ooi",ISSN:42002455
NPRP8-648-2-273,Journal Paper,Performance Analysis of Single-Photon Avalanche Diode Underwater VLC System Using ARQ,"Taniya Shafique,1 Osama Amin,2 Mohamed Abdallah,3
Imran Shafique Ansari,1 Mohamed-Slim Alouini,2
and Khalid Qaraqe1",ISSN:19430655
NPRP8-648-2-273,Journal Paper,Planar broad-band and wide-angle hybrid plasmonic IMI filters with induced transmission for visible light applications,"Noha Anous, Tarek Ramadan, Mohamed Abdallah, Khalid Qaraqe, and Diaa Khalil",ISSN:56008751
NPRP8-648-2-273,Journal Paper,Angle-tolerant hybrid plasmonic filters for visible light communications,"Noha Anous, Mohamed Abdallah, Tarek Ramadan, Khalid Qaraqe, and Diaa Khalil",ISSN:56000106
NPRP8-648-2-273,Conference Paper,Performance analysis of adaptive modulation in underwater visible light communications,Imen Sahnoun ;  Imran Shafique Ansari ;  Mohamed Abdallah ;  Khalid Qaraqe,DOI:10.23919/SOFTCOM.2017.8115499
NPRP8-648-2-273,Journal Paper,Performance Evaluation of LOS and NLOS Vertical Inhomogeneous Links in Underwater Visible Light Communications,"Noha Anous, M. Abdallah, M. Uysel, and K. Qaraqe",ISSN:21693536
NPRP8-648-2-273,Journal Paper,Visible Light Channel Modeling for Gas Pipelines,"Farshad Miramirkhani, Murat Uysel, Omer Narmanlioglu, Mohamed Abdallah, Khalid Qaraqe",ISSN:19430647
NPRP8-646-2-272,Journal Paper,Outdoor continuous cultivation of self-settling marine cyanobacterium chroococcidiopsis sp,"Das, P.Email Author,  Quadir, M.A.,  Chaudhary, A.K.,  Thaher, M.I.,  Khan, S.,  Alghazal, G.,  Al-Jabri, H.",ISSN:15509087
NPRP8-634-1-131,Conference Paper,Machine Learning for Anomaly Detection and Categorization in Multi-cloud Environments,"Tara Salman, Deval Bhamare, Aiman Erbad, Raj Jain, Mohammed Samaka",DOI:10.1109/CSCloud.2017.15
NPRP8-634-1-131,Conference Paper,Automated service delivery platform for C-RANs,"Deval Bhamare, Aiman Erbad, Raj Jain, Mohammed Samaka",DOI:10.1109/FMEC.2017.7946434
NPRP8-634-1-131,Journal Paper,Network Slicing for 5G: Challenges and Opportunities,"Xin Li, Mohammed Samaka, H. Anthony Chan, Deval Bhamare, Lav Gupta, Chengcheng Guo, and Raj Jain",ISSN:10897801
NPRP8-634-1-131,Journal Paper,Efficient Virtual Network Function Placement Strategies for Cloud Radio Access Networks,"Deval Bhamare, Aiman Erbad, Raj Jain, Maede Zolanvari, Mohammed Samaka",ISSN:01403664
NPRP8-617-3-131,Online Paper,Recent advances in targeting protein arginine methyltransferase enzymes in cancer therapy,"Emily Smith, Wei Zhou, Polina Shindiapina, Said Sif, Chenglong Li, &amp; Robert A. Baiocchi",DOI:10.1080/14728222.2018.1474203
NPRP8-627-2-260,Journal Paper,Security of an Ordered-Based Distributive Jamming Scheme,"Ahmed El Shafie, Dusit Niyato, Naofal Al-Dhahir",ISSN:10897798
